Segment,Customers,TotalRevenue,AvgFrequency,AvgRecency,AvgTransactionValue,RevenuePercent,CustomerPercent
Champions,308,727895.49,4.626623376623376,11.39935064935065,44.43179686626404,52.2168930866586,18.36612999403697
About To Sleep,453,214827.42,1.3421633554083885,51.41059602649007,34.431729909366325,15.411031633432302,27.01252236135957
Loyal Customers,181,168743.2,2.657458563535912,26.25414364640884,25.984291282261413,12.105097166491099,10.793082886106141
Potential Loyalist,181,82920.11,1.143646408839779,12.049723756906078,31.17457046463471,5.948423335613703,10.793082886106141
Hibernating,214,57558.34,1.0,84.3411214953271,34.54077170595002,4.129051116974973,12.760882528324387
Promising,93,51806.47,1.10752688172043,33.44086021505376,30.74139478251955,3.7164303699521293,5.545617173524151
At Risk,48,40650.420000000006,2.5416666666666665,82.29166666666667,28.71908374937043,2.9161310438504966,2.862254025044723
New Customers,74,29952.370000000003,1.0,11.594594594594595,26.765891169437246,2.148687172085708,4.412641621943948
Lost,125,19630.86,1.072,47.344,24.183324714541907,1.4082550749409959,7.4537865235539655
